track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_country_prob,predicted_edm_prob,predicted_hip-hop_prob,predicted_latin_prob,predicted_pop_prob,predicted_rnb_prob,predicted_rock_prob,euclidean_dist,manhattan_dist,cosine_dist,cosine_dist_mod1,cosine_dist_mod2
6VhuP99TE6gYNQRJIlAWFD,Until I Found You,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,6BUPtXbb2tspYnkVdg5Ef7,176666,2022-08-19,80,0.346,0.5,10.0,0.7886282792352156,1.0,0.0388,0.757,0.0,0.189,0.191,0.9212112604039429,4,pop,0.8753908367292711,0.0461177123136841,0.0028737301310152,0.0021415743456456,0.0245221085454552,0.8753908367292711,0.0388915305150481,0.0100625074198805,0.0290000000000006,0.029,0.0198827686713052,0.6026311199193577,0.1253164662618409
2IwbW2jd0Ncv99Aroe77Ru,Crown,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,1atjqOZTCdrjxjMyCPZc2g,264299,2022-05-13,38,0.355,0.245,1.0,0.5835927078701645,0.0,0.0358,0.801,9.11e-05,0.112,0.162,0.7556742323097462,4,pop,0.5578158439931598,0.1932603350538634,0.0036681360371735,0.0049877130895985,0.0136621565345807,0.5578158439931598,0.20229668114607,0.0243091341455539,0.0200000000000002,0.02,0.0204191662418257,0.3673697421365188,0.0732874469896595
5JCoSi02qi3jJeHdZXMmR8,favorite crime,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,152666,2021-05-21,85,0.369,0.272,9.0,0.6663517118719431,1.0,0.0364,0.866,0.0,0.147,0.218,0.753401698718859,4,pop,0.6601946435374787,0.1126756423939124,0.0020413483045122,0.0038467598303516,0.0126429282127284,0.6601946435374787,0.2020775442177785,0.0065211335032376,0.0060000000000006,0.006,0.0207915311830674,0.4060339542686154,0.0827526097662146
67dU06KGaJHLLlo5Y5bkD2,Reputation,246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,248177,2022-06-03,71,0.314,0.439,2.0,0.7989384170742552,1.0,0.0311,0.671,0.0,0.181,0.364,0.7942504900150554,4,pop,0.7332228406838699,0.1047623367848198,0.0024732380302891,0.0030205823162312,0.0255269245607912,0.7332228406838699,0.1196227628779213,0.0113713147460771,0.0610000000000002,0.061,0.0208501768240064,0.5001986886659006,0.0996762718903094
6m9qPYXmhge2QhBLfFKnVF,Same Drugs,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,71QyofYesSsRMwFOTafnhB,257775,2016-05-27,62,0.461,0.293,6.0,0.6935026678523788,1.0,0.0555,0.947,9.95e-06,0.0936,0.531,0.7952617674630001,4,pop,0.6467265007302944,0.0246470651114186,0.0003017225981459,0.004110712187914,0.0030483316047435,0.6467265007302944,0.3200322033392674,0.0011334644282161,0.086,0.086,0.0215647832494786,0.3127715862388057,0.0638503540788707
60brXKLTC15vK0av5gIldm,Confirmation,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,63iWSELt9V1kV6RSMxN7Ii,170586,2020-02-14,58,0.438,0.315,8.0,0.7305746998666074,1.0,0.0375,0.608,0.0,0.151,0.449,0.8507513564184869,4,pop,0.5784833973331992,0.2650494329279724,0.0003195609099065,0.0030508890240692,0.0255160540576749,0.5784833973331992,0.1175617058089142,0.0100189599382632,0.0629999999999997,0.063,0.0216556916154501,0.4781745115197704,0.0833697233836385
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,3MZsBdqDrRTJihTHQrO6Dq,Joji,6ZZvx0aefZV3LKa053fn71,233456,2022-06-10,95,0.44,0.317,8.0,0.7007836816362828,1.0,0.0531,0.891,4.78e-06,0.141,0.268,0.7362724767775471,4,pop,0.6545656484644728,0.0543052313648515,0.0007486917757758,0.0028165435971626,0.0118638529700882,0.6545656484644728,0.2739205724226601,0.0017794594049886,0.0649999999999998,0.065,0.0218611508188686,0.3453697478733584,0.0734706520397554
2ZTYlnhhV1UAReg7wIGolx,To Die For,2wY79sveU1sp5g7SokKOiI,Sam Smith,2motAeq8jZvHkF4VpbWSHf,193795,2020-02-14,69,0.483,0.361,0.0,0.7388283681636283,1.0,0.0738,0.832,4.66e-06,0.098,0.307,0.7461295912280203,4,pop,0.7084733058892294,0.0263027407535059,0.0012792201720301,0.002911835329275,0.0173105701932333,0.7084733058892294,0.2425313636774891,0.0011909639852371,0.1080000000000001,0.1079999999999999,0.0224103109814226,0.3913462611819996,0.0837860455195557
1kdWw77ZpYOkhxeuhzU1j6,it’s time to go - bonus track,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6AORtDjduMM3bupSWzbTSG,254640,2021-01-07,68,0.592,0.41,0.0,0.6127445531347265,1.0,0.0397,0.801,1.39e-05,0.09,0.416,0.6340595971934209,0,country,0.3423502328341449,0.2821088368753269,0.0036762738560989,0.006656403138983,0.0098251961104184,0.3423502328341449,0.3212003442529588,0.0341827129320686,0.2169999999999999,0.2169999999999999,0.0348235339114593,0.2108086804565097,0.0549679069493438
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,5yaUrYOylXyPC7jEV0o2YZ,245333,1991-11-18,47,0.498,0.432,9.0,0.5582759004001778,1.0,0.0345,0.688,0.0,0.136,0.365,0.5379996023066214,0,country,0.3129457474832351,0.3129457474832351,0.0094507932547139,0.0105866611732648,0.0081313580547035,0.1805828974162076,0.3043504377894998,0.1739521048283753,0.123,0.123,0.0353368296997111,0.1917021725724912,0.0545929291367872
70f0ToGXTEtLKFSwHMbHoC,Please Come Home For Christmas - Bonus Track,0ECwFtbIWEVNwjlrfc6xoL,Eagles,5Dth4kKoizl5D4yuuKyZgL,180413,2007-01-01,0,0.609,0.357,9.0,0.6786071587372164,1.0,0.0398,0.514,0.00034,0.0603,0.468,0.810930886572167,0,country,0.3903957854072267,0.3903957854072267,0.0010461321686974,0.0051249072480961,0.045734744376258,0.3636786421494573,0.1697001307430981,0.0243196579071657,0.2339999999999999,0.2339999999999999,0.0457919816674083,0.4097639469496364,0.087469389306264
53e5O0USYgSCv4md0CXpMY,Brave For You,3iOvXCl6edW5Um0fXEBRXy,The xx,2PXy9USZAoTSdtrxfkPBnl,253093,2017-01-13,0,0.54,0.417,10.0,0.6510393508225878,0.0,0.0307,0.664,0.000425,0.106,0.281,0.5365622248103854,0,country,0.3984318933324691,0.3984318933324691,0.0143523790432391,0.0098581860432405,0.0132263154760423,0.3492652159827069,0.1819908703760795,0.0328751397462223,0.165,0.165,0.0478973015593835,0.4081783821944326,0.0955398243343943
0udOCZp7yk0Ml92C0k8H8D,That's On Me,4LLpKhyESsyAXpc4laK94U,Mac Miller,5sY6UIQ32GqwMLAfSNEaXb,217868,2020-01-17,62,0.583,0.499,10.0,0.6777734548688306,1.0,0.0261,0.591,0.0104,0.33,0.342,0.6526716473027867,0,country,0.482457240727356,0.482457240727356,0.0045768314785332,0.0097043159115818,0.0170574479529766,0.2101108392118872,0.2201118162958105,0.0559815084218542,0.2079999999999999,0.2079999999999999,0.0493008035667499,0.4182891528075837,0.0934073848015981
5YL553x8sHderRBDlm3NM3,White Horse (Taylor’s Version),06HL4z0CvFAxyc27GXpf02,Taylor Swift,4hDok0OAJd57SGIT8xuWJH,234515,2021-04-09,67,0.423,0.517,0.0,0.7530569141840817,1.0,0.0486,0.369,0.0,0.177,0.366,0.8234695906598867,0,country,0.4080738427980103,0.4080738427980103,0.0023294214061179,0.0048692511176342,0.0208782251507066,0.3911538588048653,0.1409660200160196,0.0317293807066456,0.048,0.0479999999999999,0.0566224845237288,0.4611976023059246,0.1067786796363036
