track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
01gtYUZEfMHuP7MIzxzVAn,we're falling,36,181000,4wOqWyXZiVMLchDC2H9CyP,sapientdream,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6pHNe5TqC0HSiuaQL1UjF6,Whippet,22,306141,19i3W7HQJXCA7kSTuZnFHw,DZRT FRST,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3vDwqfFpqxGt9KOkP1kvEy,Journey to the Center of Myself - X&G Remix,34,202500,"['6wKxOKEA3K6R2UZ3COLXEY', '5ic5UHDgniVG1xKLAIU9sG']","['Elohim', 'X&G']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3oKU8QbrQ48zQZDqUqz7JN,Slowly,22,232840,3J6DEhsjKpqlZEHP0SPYfk,Bri Oglu,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
1klD0gKXh7xaiYedidTGy2,Life Begins,30,150000,"['5qHU5aVSeIWQbjWP2lQ1QN', '1hMfgrE3e8jXJCieIVRam6', '0m5H6FOV5688nBDZhNL0GM', '7EvPGnyBSvmUlstiS3oEmx', '506KEPl3u4syY6p2e3MyEJ']","['Delaney Minta', 'Lukas Stevens', 'Variegate', 'Faith Dawn', 'Flannan']",5,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
5VriIpQWGy09LMAL4qTYBy,Trust,7,247619,1daCx1huhWZa5aLc1KK9hs,Serion,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4BbujTE68eGRRSsyHdPcmO,Don't Tell Me,26,178124,4simYTXaLfACFxbv4UxJ4r,Hot Shit!,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
5BzB0Qh1obgkQ5yWn6A4dR,Te Ves Buena,26,129677,"['4rhEX2Th8zhjLugfuRQZfk', '0oca4ZlKXurE4AcMoI1h5X']","['PARTIDA', 'Huber S']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4mmh6uQ9Hl8cItCbVq9APW,Dbl Yllw Lines,18,182375,3aZZfvuQJ1GDje9v7fDuLs,P.E.Petrov,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
1BJUvrqlJ6YooPc6FIDiDk,BFT44,38,215075,3f5FQsoWpQw4fLCfRXQOvO,Aminoriol,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,86,247426,1vCWHaC5f2uS3yhpwWbIA6,Avicii,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,85,247160,"['69GGBxA162lTqCwzJG5jLp', '4gzpq5DPGxSnKTe4SA8HAU']","['The Chainsmokers', 'Coldplay']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,84,205946,"['540vIaP2JwjQb9dm3aArA4', '1uNFoZAHBGtllmzznpCI3s']","['DJ Snake', 'Justin Bieber']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2dpaYNEQHiRxtZbfNsse99,Happier,83,214289,"['64KEffDW9EtZ1y2vBYgq8T', '7EQ0qTo7fWT7DPxmxtSYEc']","['Marshmello', 'Bastille']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
6f3Slt0GbA2bPZlz0aIFXN,The Business,83,164000,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,83,248413,"['4tZwfgrHOc3mvqYlEYSvVi', '2RdwBSPQiwcmiDo9kixcl8', '3yDIp0kaq9EFKe07X1X2rz']","['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",3,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
6YUTL4dYpB9xZO5qExPf05,Summer,82,222533,7CajNmpbOovFoOoasH2HaY,Calvin Harris,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
0ct6r3EGTcMLPtrXHDvVjc,The Nights,86,176658,1vCWHaC5f2uS3yhpwWbIA6,Avicii,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
7BKLCZ1jbUBVqRi2FVlTVw,Closer,85,244960,"['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']","['The Chainsmokers', 'Halsey']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",82,252306,"['0TnOYISbd1XYRBk9myaseg', '21E3waRsmPlU7jZsS13rcj', '4D75GcNG95ebPtNvoNVXhz', '1ruutHJcECI7cos2n5TqpO']","['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",4,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2prnn41CblB8B4yWACDljP,Love Tonight - David Guetta Remix Edit,82,158095,"['2TcGJdSOiOvITBzhvfX8XB', '1Cs0zKBU1kc0i8ypK3B9ai']","['Shouse', 'David Guetta']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,82,222160,"['7CajNmpbOovFoOoasH2HaY', '5pKCCKE2ajJHZ9KAiaK11H']","['Calvin Harris', 'Rihanna']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2tnVG71enUj33Ic2nFN6kZ,Ride It,81,157605,4ofCBoyEiGSePFAG500xev,Regard,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
6h5PAsRni4IRlxWr6uDPTP,More Than You Know,81,203000,2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,81,230613,1vCWHaC5f2uS3yhpwWbIA6,Avicii,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2CEgGE6aESpnmtfiZwYlbV,Dynamite,80,202613,6MF9fzBmfXghAz953czmBC,Taio Cruz,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,80,208373,"['69GGBxA162lTqCwzJG5jLp', '6Dd3NScHWwnW6obMFbl1BH']","['The Chainsmokers', 'Daya']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,80,212862,"['1h6Cn3P4NGzXbaXidqURXs', '2auikkNYqigWStoHWK1Grq']","['Swedish House Mafia', 'John Martin']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),80,183725,"['4sTQVOfp9vEMCemLw50sbu', '1Cs0zKBU1kc0i8ypK3B9ai', '3e7awlrlDSwF3iM0WBjGMp']","['Galantis', 'David Guetta', 'Little Mix']",3,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),81,204160,"['0TnOYISbd1XYRBk9myaseg', '6LqNN22kT3074XbTVUrhzX']","['Pitbull', 'Kesha']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,80,206413,7CajNmpbOovFoOoasH2HaY,Calvin Harris,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
698ItKASDavgwZ3WjaWjtz,Faded,80,212106,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,1,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
3C0nOe05EIt1390bVABLyN,On The Floor,80,284866,"['2DlGxzQSjYe5N6G9nkYghR', '0TnOYISbd1XYRBk9myaseg']","['Jennifer Lopez', 'Pitbull']",2,37i9dQZF1DX3Kdv0IChEm9,EDM Hits
